"setting","simulation","Bayesian_epsilon","Bayesian_CI_upper","Bayesian_coverage","Bayesian_power","frequentist_epsilon","frequentist_CI_upper","frequentist_coverage","frequentist_power","n_sample","n_chains","n_iterations","n_simulations","BF_alternative","timestamp","seed"
1,1,0.313099486259767,0.02,TRUE,TRUE,0.262019893289113,0.35529095540827,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,1,0.2792328195931,0.02,TRUE,TRUE,0.243149297101846,0.49820367702201,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,2,0.311179486259767,0.08,TRUE,TRUE,0.267293804354382,0.274946904980207,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,2,0.299846152926433,0.02,TRUE,TRUE,0.26431819745158,0.408716052244082,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,3,0.312166152926433,0.04,TRUE,TRUE,0.259349338053149,0.456965605524785,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,3,0.306299486259767,0.0600000000000001,TRUE,TRUE,0.26431819745158,0.358597734960514,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,4,0.311099486259767,0.0600000000000001,TRUE,TRUE,0.268790322742872,0.348289018553322,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,4,0.293739486259767,0.04,TRUE,TRUE,0.231459621642254,0.36726594681959,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,5,0.314379486259767,0.02,TRUE,TRUE,0.265960233576375,0.322467615901709,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,5,0.254806152926433,0.0399999999999999,TRUE,TRUE,0.208488969208559,0.457524077679033,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,6,0.315046152926434,0.02,TRUE,TRUE,0.267293804354382,0.282849933992626,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,6,0.3116328195931,0.1,TRUE,TRUE,0.268790322742872,0.462552313798061,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,7,0.3149128195931,0.0600000000000001,TRUE,TRUE,0.268790322742872,0.26599414214774,TRUE,TRUE,50,2,500,50,"greater","2026-04-29 01:38:29",124
